score,text
4.0,"Хороший отель. Тихий и спокойный. Приятная небольшая территория. Номер у меня был небольшой,чистый и уютный,окнами на какой-то завод.который ночью издавал приглушенный гул,номер был на 8 этаже. В номере все хорошо,только темновато как-то,в ванной тоже,но это все ерунда. Для романтического уикеэнда не советую,а так все вполне на уровне. и да,я в отеле только завтракала,все понравилось."
5.0,"Хочу сказать слова благодарности сотрудникам отеля Форум, которые работали 24.01.2015. Особенно горничной и ресепшену. Браслет, который забыла дочь в номере 1106 был найден и возвращен. Спасибо огромное. А вообще отель произвел очень приятное впечатление. Завтрак отличный. Хоршее сочетание цены и качества. Спасибо. С удовольствием остановимся еще раз."
5.0,"Не первый раз останавливаюсь в этом отеле. Чистые, комфортные номера, убирались два раза в день. Отзывчивый персонал и очень разнообразный и вкусный завтрак! Быстрый вайфай на всей территории, в том числе и в номере. Удобное расположение. Рекомендую!"
4.0,"Останавливались в Форуме в январе 2016, номер на 11 этаже. Номер- большой 40кв.м., чисто, уютно, есть прихожая. -Прихржая:огромное зеркало, шкаф, вешалка, тумба для обуви(две щетки для обуви), в шкафу сейф, дополнительное одеяло, не понравились тапочки, советую брать с собой. -Комната: два окна(высокие, от уровня головы), тепло, много мебели(пора подреставрировать), большая кровать, две тумбы, туалетный столик, журнальный столик, два стула, камод, тумба для белья, диван(пора менять), тумба под телевизор(в ней пустой холодильник), плоский телевизор, две бутылки воды(каждый день-входит в стоимость). -Ванная комната- просторная, ванная,есть туалетные принадледности(мыло,гель, шампунь, зубные щетки,паста), восемь разных полотенец, халатов нет в номере данной категории(стандарт"
5.0,"Отель шикарен. Номера достаточно просторные, уютные, чистые. Понравилось, что на окнах стоят ограничители. Долгая процедура размещения. Не понравилось, что отказали в просьбе разместить всю группу на одном этаже, объяснив это большой бронью (но мы-то тоже бронировали и даже не за месяц). А в целом отлично, хорошие завтраки. Выберу вас снова."
4.0,"Ездили в командировку в Рязань с коллегами. В целом отель устроил полностью, в номерах уютно, завтрак хороший, местоположение отеля удобное. Единственное, почему не ставлю 5 баллов в рейтинг — это даже не отсутствие халатов в номерах (это как бы бог с ним, хотя, нарисовав 4 звезды на фасаде, можно уж было и халатами обзавестись), а отсутствие тапочек! Не то, чтобы я был очень брезглив, но всё-таки я не могу быть на 100% уверен кто ходил по ковровому покрытию в моём номере и насколько тщательно его после этого чистили."
4.0,"В целом очень достойный отель, сильными сторонами можно назвать комфорт в номерах, завтрак, местоположение. Есть только два момента, которые смутили: 1) Пожалуй, самый долгий check-in в моей жизни - минут 10 потратили не понятно на что. 2) В номере было всего 2 розетки, про то что ни одна из них не рядом с кроватями вообще молчу. В остальном все понравилось."
5.0,Современный Конгресс-отель в тихом центре рязани. Рекомендую для кратковременного проживания в рязани. Соответствует 4 звезды. Можно прогуляться по тихим старинным улочкам рязани до театральной площади. По месторасположению и соотношению цена - качество пожалуй лучший в рязани.
5.0,"Номера шикарные. По размеру просто отлично, люблю когда много места. По цене более чем приемлемо! Сам отель очень чистый и красивый. в номерах везде чистота, и уют. Завтраки стандартные для такого типа отелей. Всем рекомендую."
4.0,"Полностью согласен с авторами других отзывов. Пока что отель действительно подходит под, если не 4 , то 3 с плюсом точно, звезды. Из явных плюсов - расположение в центре города, но в тихом месте. Хорошее обслуживание. Хорошее питание. Завтраки отличные. Общая уютная атмосфера. Номер - Стандарт, он и есть стандарт. А что еще надо? Кровати удобные. Уборка номеров на уровне. Можно приглашать ""Ревизоро"". Из минусов - спа-зона небольшая, хамам так себе, нормального бассейна нет. На этом сэкономили. Ванная комната небольшая. На фаянсе точно сэкономили и на крючках для одежде в коридоре. Сама ванна - сидячая, акриловая. ""Ванну"" конечно не примешь и нормально под душем не постоишь. Шланг у лейки рассчитан явно на детсадовский возраст. И если у вас номер выходит не на пр. Яблочкова, а"
4.0,"На мой взгляд это лучшая гостиница в Рязани, вмещающая более ста номеров. Номера неплохие, просторные, с нормальной шумоизоляцией. Завтрак полноценный, с большим выбором блюд. Единственный минус - цены в баре на первом этаже:)"
5.0,"хороший отель рекомендую. Отель расположен в самом центре Рязани, но в окнами выходит на тихую улицу. Спокойная и уютная атмосфера, достаточно комфортные номера, хотя и небольшие. Доброжелательный персонал, неплохое соотношение цены и качества."
4.0,"приятная гостиница, с различными номерами, стандартные условия, вполне хорошие, завтраки включенные в проживание хорошие и сытные. единственный недостаток - частые конференции проводимые в гостинице и поэтому порой мест нет."
5.0,"Останавливались в отеле в сентябре. Совместили командировку мужа с отдыхом. Отель забронировали сами по телефону, сначала изучив сайт. Не пожалели. Все очень достойно. Во-первых, размещение было быстрым, несмотря на то, что приехали ровно в 12, номер был готов. Девушки на ресепшен очень приятные, охотно посоветовали, куда сходить покушать, где погулять. Во-вторых, очень порадовала чистота в номере, все аккуратно, убрано, придраться не к чему. Завтраки достойные, классический шведский стол в моем понимании, выбрать всегда есть из чего: мюсли, каша, яичница, нарезки, овощи, фрукты и т.д. - все свежее, в достаточном количестве. В отеле есть бесплатный тренажерный зал и СПА, но туда я так и не добралась. В общем, впечатления только положительные, вернулась бы сюда еще."
4.0,"Останавливалась в отеле уже несколько раз. Всегда беру одноместный номер, цены, кстати, на номера достаточно невысокие. Номер всегда чистый, в этот раз там оказался дополнительно зубной набор и тапочки. Это очень приятно. Персонал отеля доброжелательный, не навязчивый. На все просьбы откликается и старается искренне помочь. Очень вкусные пирожные, каждый раз пробую новые. Буду и дальше останавливаться в этом отеле."
4.0,"Плюсы: Очень понравился спа на 3 этаже - ходил на массаж. Завтраки приятные, но ничего сверх большой номер подходит для проведения конференций Минусы: номер мало приспособлен для работы - мало розеток и вместо стула табуретка Еда в лобби-баре обычная. Супы есть, но почему-то не указаны в меню."
4.0,"Неплохой большой отель. Просторные номера с симпатичной обстановкой, большие кровати с двумя одеялами. Ночью может быть шумновато, мы слышали ходьбу в коридоре и свадьбу на втором этаже. Завтрак разнообразный, почему-то правда не было хлеба. Персонал очень позитивный и идет навстречу, может что либо подсказать."
4.0,"Были в отеле недолго. Номер был стандартный на двоих. Претензий особо нет, вот только звукоизоляция не самая лучшая. Завтрак (шведский стол) начинается с семи. Пришли к началу восьмого - народу никого, раздолье. Неплохой выбор блюд, можно сытно позавтракать. Если вы приезжаете в Рязань с туристическими целями или проездом, то можете найти отель и дешевле и не хуже."
3.0,"На отеле гордо горят 4 золотые звезды, уверена владельцы их присвоили себе самостоятельно. Вежливый персонал, номера огромные и относительно вкусный завтрак-больше плюсов нет. Ванная комната со старой не совсем чистой сантехникой, жутко неудобные кровати, подушки и не свежее постельное белье. Ко всему прочему, в номере было жутко пыльно и темно! Ощущение какого то дешевого хостела не покидает при достаточно высокой цене. Твердая тройка! Поищите что нибудь получше)"
3.0,"Средний отель, может быть гораздо лучше. В номере чисто, много полотенец в ванной. Завтрак сильно так себе. Рано завтракать лучше не приходить - каша будет недоваренная, кипятка для чая не будет. Сильно удивила гладильная комната в отеле. Мало того, что попросить принести утюг в номер нельзя, нужно идти в специальную комнату. Так она еще и одна на весь отель"
5.0,"Модный современный отель,почти в ценре города, пешком до музыкального театра 15 минут.Завтрак хороший и сытный шведский стол.Большие одноместные номера. Тишина и быстрый интернет.Стоянка во дворе, прямо у входа. Отель,видимо излюбленное место молодоженов."
3.0,"Выбрали данный отель на один раз так как дома затеяли ремонт. Выбирали из рязанских гостиниц по звездам! Звездность, конечно присутствует, но только на первом этаже где красивые холлы, бар, ресепшн! Вечером посидели в кафе на первом этаже поужинали! Сразу могу сказать, что можно и дешевле сделать бы для гостей отеля! 350 руб за пиво... Про другое не пишу... Номер выбрали большой комфорт с одной кроватью! Номер просторный, но пространство никому не нужно вообще и ничем не заставлено! Т.е. совершили переплату за воздух! Диван в номере уже потерт, потерты и двери и мебель, обои уже б конечно обновить! В ванне есть все, но вот почему то все таки зубные щетки пришлось купить по 50 ₽! В ванной комнате в лючке нашел бутылку пива всю в пыли и посоветовал при выезде горничным обратить"
5.0,"Отель очень понравился. Номера уютные, персонал приветливый, в стоимость номера включены завтраки с достаточно разнообразным выбором. Территория отеля сделана со вкусом и с хорошим дизайном, мостики через небольшие озерца, фонтаны."
4.0,"Понравился отель. Останавливались по работе. Есть места для парковки, но во время конференции мест не хватало. Вместительный конференц зал. Номера двухместные приличные по площади, в классическом стиле. Понравился шведский стол на завтраках. Большой выбор блюд. Если добираться на машине до отеля, то в принципе нормально, а так до центра далековато будет."
3.0,"Номера ровные, уровень комфорта без претензий. Полотенца хорошо б/у. Средства для геля, душа банальные. Приятные девушки на рецепции. Обычные сложности с сервисом в лобби-баре и ресторане. Девушек набрали, обучать не обязательно. Инетом не пользовался. Можно жить."
4.0,"Хороший, спокойный отель, с хорошим обслуживанием, включенным завтраком и сервисом в номерах. Расположен на одной из главных улиц Рязани. До рязанского кремля - пять минут на автомобиле. Да, будите пользоваться лифтами - они все вызываются своими кнопками."
4.0,"Конгресс-Форум в Рязани оправдал ожидания. Одноместный номер небольшой, все чисто и опрятно. На завтраке - выбор блюд достаточно большой ( свежая выпечка, каша, сырники, нарезка и пр.), накрывают в просторном ресторане на 2-м этаже. Обслуживание вежливое. Бесплатный интернет. До центра пешком минут 10-15. Бесплатная стоянка. В отеле панорамный лифт на на центр Рязани. Часть номеров с видом на промзону, а часть номеров с видом на центр города. Все ок."
4.0,"Был в командировке в г.Рязань. Разместился в отеле ""Конгресс-отель Форум. Хороший отель, отзывчивые сотрудники, дорогой бар)). Если вы будете в этом отеле летом, то старайтесь попасть в номер у которого окна выходят на фасадную часть отеля, т.к. в номере очень шумно работает кондиционер, а если его отключить и открыть окна, то в номере будет шумно от вентиляционных установок промышленного объекта находящегося за отелем. Поэтому лучше иметь номер с окнами на сторону где центральный вход и спать с открытыми окнами в относительной тишине и свежим ночным воздухом. Хороший Wi-Fi с приличной скоростью. Отель очень чистый, везде порядок. Хорошая кухня в ресторане. Удивили подберезовики растущие справа от входа в в отель на газоне у автостоянки. Отель советую использовать с учетом"
4.0,"Очевидно, лучше всего подходит для деловой поездки в Рязань.Хорошо: парковка для гостей, тренажерный зал (открывается рано, хороший выбор оборудования, хотя маленький зал), кондиционер, милый персонал, чистые полотенца.Не очень хорошо: горячая вода не слишком горячая, немного здоровой еды на завтрак, кофе - невкусный, матрас старый, старомодный дизайн интерьера.Советы: кулер с водой на третьем этаже, гладильная доска на 9 этаже."
5.0,"Обслуживание в гостинице на хорошем уровне, номера тоже. Из аксессуаров для постояльца было все, вплоть до пилочки для ногтей и одноразовой мочалки. Мебель новая, лифты быстрые, завтрак умеренно-разнообразный. Минусом отеля может являться его относительная удаленность от центра - до Кремля час пешком."
3.0,"Приезжали в Рязань на свадьбу к родственникам.Изначально хотели остановиться в Конюшенном дворе(но увы,мест не было на наши даты).Отель неплохой,ухоженная территория,лифт с приятным видом на Рязань и номер большой,на полу ковролин,в номере окна чистые,в целом опрятно,жаль только что раковина была с трещиной.Халатов не было,только тапочки. В ванной комнате только шампунь и гель для душа.Завтраки не понравились. Вроде и ассортимент есть-сырники,блинчики,каша,но все какое то невкусное,пластмассовое. А зеленый омлет вообще без комментариев.Кофемашина почему то в первый день работала(кофе в ней только американо),а на второй день уже нет,зато по прейскуранту любой кофе пожалуйста. Можно заказать яичницу за 200 рублей,что я и сделала для ребенка,но принесли почему-то омлет. Не охотно"
3.0,"Конгресс отель ""Форум"" в Рязани - одна из двух гостиниц категории "" 4 звезды"" ( еще есть гостиница ""Гранд"", которая тоже позиционирует себя, как соответствующая 4 звездам). В целом неплохо, но нельзя не отметить существенные недостатки: во всей гостинице нет ни одного кулера с питьевой холодной водой и кипятком. Это особенно неприятно на фоне других гостиниц, не имеющих никаких звезд, но имеющих кулеры на каждом этаже ( например, Ловеч в Рязани). Второй недостаток - местоположение - далеко от центра, Форум очень проигрывает расположенным совсем рядом с ж/д вокзалом гостиницам Гранд и Ловеч. Завтраки ""шведский стол"", ужины и обеды в ресторане - вполне обычные, соответствуют не 4 а трем звездам. К плюсам можно отнести маленький сквер с фонтаном перед гостиницей и парк с вековыми"
5.0,"Почти всегда в Рязани останавливаюсь в этом отеле. Пожалуй, из того, что я видела в этом городе, это лучшее соотношение цены/качества. Отдельно стоит отметить, что отель спрятан от проезжей части, поэтому нет пыли, а ночью Вам не помешает шум. Охраняемая парковка, разумный выбор блюд на завтраке, услужливый персонал, чистота и порядок. Единственное, что многих вводит в ступор, - система работы лифта от номерного ключа)))) Еще не видела ни одного человека, кто поехал бы с первого раза))) Ну и, на мой взгляд, этот отель больше подойдет командированным и тем, кто не сильно интересуется достопримечательностями города, т к в пешем доступе таковых не имеется. В целом, могу поставить Форуму твердую пятерку) Останавливайтесь, не пожалеете))"
5.0,"Останавливались на две недели - очень уютно, комфортные номера, вежливый персонал. Все на 5 с плюсом. Очень его советую. Завтраки - разнообразные, все вкусно. Из минусов - освещение в номерах, темновато. Из пожеланий - хотелось бы, чтобы менялось меню пансиона. Хотя бы раз в неделю. Очень советую - сами останавливаемся второй раз - первый осенью 2014. Еще из плюсов - бесплатный тренажерный зал, где практически никогда никого нет)))"
5.0,"Тем деньгам, которые просят за номер, отель соответствует полностью. Хороший санузел, отличная кровать. Завтрак на достаточно высоком уровне. До центра 7 минут на машине. Ещё раз буду в Рязани, остановлюсь там же."
4.0,При поездке в ортодоксальную Рязань хочется комфорта и тишины. Форум - идеальный выбор при поездке. Советую бронировать заблаговременно. Просите номер с большой кроватью. Как вариант - с полутора спальной. Для перемещений по городу такси всегда рядышком
4.0,"Хороший отель в центре Рязани для проведения конференций. Чистые номера, удобные залы , хороший завтрак. Немного необычна система подъема на лифте- только с помощью карты от номера, видимо , защищают от сторонних посетителей . Есть СПА, но оценить не смог"
4.0,"Все прекрасно, номер, лифт в номер, завтраки, ванна в номере, окно открывается... Но звукоизоляция... Думала, что дети в прилегающемся номере стояли под нашими дверьми и специально шумели...) а в остальном все прекрасно"
4.0,"Был несколько раз. Большая парковка, уютные номера, хороший шведский стол на завтрак. Номер стоил порядка 3 200 р. Идеальное расположение относительно РНПК, да и до исторического центра относительно близко."
1.0,"Находится очень не удобно, телевизор показывает плохо, интернет медленный, но самое главное - звукоизоляция - ее практически нет. Я много езжу в командировки - в этот ""отеле"" одна из самых худших звукоизоляция что я встречал за всю жизнь. Единственное нормальное - это спортзал"
5.0,"Была в командировке по работе в мае и все устроило-номера хорошие,уютные,уборка регулярная.В номере есть телевизор,однако каналов не много.Есть что то, типа кондиционера,фен в ванной.Завтраки разнообразны и вкусные,блюда подают на шведский стол в перчатках.На ресепшене девушки улыбчивые,приветливые и располагают к себе.Конференц-залы оборудованы всем,чем необходимо, и сотрудники помогают настроить оборудование-расскажут и покажут.Перед отелем хороший пейзаж-парк им.Уткина и на территории отеля фонтан.Много иностранцев останавливалось.До центра ехать 10 мин.на маршрутках и такси.Отель полностью оправдывает 4 звезды."
4.0,"В целом неплохо, номера хорошие, все есть, правда жил в улучшенном (полулюкс или что-то вроде этого). Завтраки тоже в порядке. Свою стоимость отель оправдывает более чем. Единственный минус - довольно глухое место. Правда не был в других отелях Рязани."
5.0,"Отличный отель, работает вайфай. Есть парковка. Есть с чем сравнить и могу сказать, что сочетание цена/качество просто превосходное. Если сейчас политика цен не сильно поменялась, то за это деньги это отличный вариант!"
3.0,"Все вроде бы нормально, кроме отвратительных ужинов (и по цене и по вкусу). Меню состоит из трех блюд на выбор (одно хуже другого) и меняется раз в полгода. Стоимость такого ""счастья"" почти 700 рублей, при том, что в столовой на заводе разваренные макароны вам подадут куда дешевле. Выбор за вами."
3.0,"К сожалению отеля, столь же удобного для автомобилистов в Рязани больше нет, поэтому неоднократно останавливалась там с прошлого года. Плюсы: бесплатная стоянка для авто ( там же почему то всегда стоит куча авто с рязанскими номерами --удивляет). Неплохой ресторан, правда маленький и больше с барным меню и открытый всему лобби. На завтраке ешь в другом, закрытом ресторане на 2 этаже, там довольно нерасторопные официанты. Все столы утром могут быть заставлены грязными тарелками, и никто не шевелится, хотя уже негде сесть. Вряд ли это можно назвать качественным обслуживанием. Меню завтрака стандартно: кофе, чай, тушеная капуста, каша, сосиски, пара салатов, свежие овощи,йогурты, сырки и мюсли. Из выпечки блинчики или оладьи. Хуже всего в этом отеле персонал: абсолютно"
5.0,"Хорошая гостиница европейского уровня. Заселение быстрое. Брали самые простые номера. Номер небольшой, одноместный. Но жить можно. Завтрак - шведский стол. Неплохой набор блюд. В номере бесплатная бутылочка воды. Сейф. Цены приемлемые."
4.0,"Хороший несетевой отель в Рязани. Гостиниц вообще нормальных в городе, можно сказать, нет. Неплохой завтрак, вид из окна на завод, а если повезет то на город. Центр города недалеко, но находится на противоположной стороне от вокзалов"
3.0,"В целом, отель нормальный, но есть несколько замечаний: 1. При заселении были проблемы в том, чтобы оплатить номер карточкой. Не было связи с банком. Я предложил оплатить, как только у них появится связь, на что получил категорический отказ. ""Налички"" у меня было немного меньше, чем стоил номер, и я предложил ее в качестве залога. На это согласились ""со скрипом"", после долгих согласований с начальством. 2. Один раз, решил спустится на первый этаж по лестнице (а не на лифте). Выбежал запыхавшийся охранник, и начал выговаривать мне, твердя, чтобы я больше никогда так не делал, а всегда перемещался только на лифте. 3. Было еще несколько моментов, когда давали понять, что главная задача персонала - следить как бы чего не ""свиснули"" из отеля или как бы кто-нибудь не прорвался на"
4.0,"Останавливались группой. Удобно, вполне просторно. Чисто. Крепкие 3+ звезды. Неплохой завтрак. Вид на город приятнее, чем на промзону. От центра и от вокзала не близко. В часы пик можно тащиться довольно долго. Для тех, кто на машине - есть бесплатная стоянка."
5.0,"Был в командировке и решил остановиться в новом отеле. Не пожалел. Номера чистые и опрятные. Вид из окна был на фабрику и немного на город. Зато с панорамного лифта шикарный (специально покатался несколько раз). Возле отеля есть фонтан и парк, недалеко Кремль."
3.0,"Обычный отель в центре регионального города. Обслуживание неплохое с поправкой на Рязань :-) но в целом хорошо и без претензий. Номера чистые , относительно удобные WiFi присутствует в общем железные три звезды ."
3.0,"Отель не является выдающимся ни в чем! Если вы в командировке, можно переночевать и здесь, чистенько - это пожалуй единственное, что осталось в воспоминании об этом отеле. Никаких отрицательных эмоций нет, просто он никакой. И находится далеко от центра города."
5.0,"В городе в общем-то выбирать не из чего, поэтому ""Конгресс-отель Форум"" показался наилучшим вариантом переночевать одну ночь в командировке. Искал подъезд достаточно долго, причём с навигатором и с разными программами. Просто сам отель расположен вдали от дороги и, в общем, его с неё видно. Перед отелем есть бесплатная парковка. Внутри всё достаточно аккуратно, панорамный лифт добавляет пафосности, хотя не отпускает мысль, что что-то есть такое, совковое, хотя отель открыт в марте 2010 года. Возможно здание не построено с нуля, а реконструировано, как сейчас модно с новым названием. Ну ладно, это придирки, а так всё хорошо! Приеду в Рязань - остановлюсь в этом отеле!"
4.0,"Были на экскурсии в Рязани 1 ночь. Отель предложила турфирма. Для Рязани на мой взгляд отель хороший - точно 3 звезды. Из хорошего: симпатичная территория, вежливый персонал, панорамный лифт, огромная площадь номера (по площади номер тянет на все 5 звезд), очень шустрый WI-FI. Из плохого ничего такого, из-за чего можно отказаться от выбора этого отеля. Можно уточнить, что если кто-то привык к европейским 4 звездам то тут может чего-то и нет (например, халатов, ванны с подогреваемым полом итп... но как я уже говорил существенный недостатков нет. Завтрак тоже вполне съедобен, на один день то, что надо."
4.0,"выбирать видимо не приходится, номер не плохой, бизнес-шмизнес, две комнаты, чисто и ванна, можно ботинки почистить и есть прачечная вроде, носки постирать, рестик вечером закрыт на спецобслуживание, в лобби какое то бычье из 96 го, свои 200 и салат еле урвал! В целом нормально, есть бесплатная парковка, лифт тормозной, один из трех просто стоит! Персонал гоняет в общем лифте с 5 го на 4 й что простите напрягает!"
5.0,"Безусловно четырёхзвёздочный отель Форум-это один из лучших отелей Рязани. Располагается неподалёку от центра города, в 5-10 минутах езды почи от любой достопримечательности. На территории прекрасный ресторан со вкуснейшей едой и хорошим обслуживанем."
4.0,"Был в Рязани зимой по коммандировке. В этом отеле был 1 ночь. На ресепшене был вежливый персонал, благополучно заселился, без проблем. Однокомнатный номер 918 (номер-студия, как они сказали) больше привычных, где только кровать и гардероб помещаются, большая просторная комната. Сразу ощущение чистоты и порядка. Красный ковролин везде, светлая отделка, вентиляция, пластиковые окна. Современный нормальный телек (не включал). Ванная и туалет тоже сразу производят впечатление чистоты. Отель 4 звезды - в номере были губки для обуви, щетки для одежды и все причитающееся по ванным принадлежностям. Было уже поздно, так что ужинал в лобби-баре отеля. Поел вкусно (не гурман), хоть и немного долго ждал. Да и вначале пришлось попросить охранника позвать официантку, т.к. никого в баре не"
2.0,"Всем привет! Посмотрела отзывы, в общем у всех хорошо, может быть только нам не понравилось? Началось все на ресепшион молодой человек издалека крайне высокого о себе мнения и крайне низкого о своей парнерше (14 декабря утром они работали в 2-м), так вот в момент нашего заселения девушка попыталась что-то уточнить у молодого человека, так он на нее так вскричал, что мы посмотрели на них. Смысл вскрика: ""Ты не видишь, что я занят"" - это значит что они в 2-м заселяли нас в 3-м :) Дальше больше, каждый проходящий сотрудник почему-то смотрел на нас с задержкой взгляда, такое ощущение, что у нас рога на голове и они пытались понять что это. Завтра нормальный, выбор есть, правда не нашла кашу. В тарелке с пирожками на VIP кофе-брейке нашли таракана, сотрудники объяснили это так: ""Мы"
5.0,"Был в этом отеле много раз. Номера чистые, персонал вежливый, питание отменное. Так же имеются места для курения на каждом этаже, что не может не радовать курильщиков. Особенно приятно, что в выходные действует скидка. Очень доволен, ставлю 5+"
5.0,"Понравилось все! И номера, и питание, и сервис. Персонал вежливый и главное, незаметный. Лифт с видом на улицу хорош :) Конечно вид из окна номера на другую сторону отеля не очень, но так как днем был занят, а вечером не видно, то не заморачивался."
